keyword,locale,tool_name,target_market,exported_at,source_file,source_sheet,source_row,matched_seed,product_evidence,relevance_score,intent_risk,recommendation,semantic_status,semantic_reason,average_monthly_searches,competition,competition_index,three_month_change,year_over_year_change,raw_metrics
digital menu,en-US,Google Keyword Planner,United States,2026-08-18,Keyword Stats 2026-08-18 at 16_01_51.csv,,23,digital menu board,PF-002;PF-003,100,,REVIEW_RELEVANT,PENDING_REVIEW,,5000,高,96,0%,-90%,"{""Avg. monthly searches"": ""5000"", ""Competition"": ""高"", ""Competition (indexed value)"": ""96"", ""Top of page bid (high range)"": ""103.99"", ""Top of page bid (low range)"": ""21.79""}"
digital menu board,en-US,Google Keyword Planner,United States,2026-08-18,Keyword Stats 2026-08-18 at 16_01_51.csv,,6,digital menu board,PF-002;PF-003,100,,REVIEW_RELEVANT,PENDING_REVIEW,,5000,高,97,0%,0%,"{""Avg. monthly searches"": ""5000"", ""Competition"": ""高"", ""Competition (indexed value)"": ""97"", ""Top of page bid (high range)"": ""118.85"", ""Top of page bid (low range)"": ""23.90""}"
digital menu boards for restaurants,en-US,Google Keyword Planner,United States,2026-08-18,Keyword Stats 2026-08-18 at 16_01_51.csv,,24,digital menu board,PF-002;PF-003,100,,REVIEW_RELEVANT,PENDING_REVIEW,,5000,高,83,-90%,-90%,"{""Avg. monthly searches"": ""5000"", ""Competition"": ""高"", ""Competition (indexed value)"": ""83"", ""Top of page bid (high range)"": ""183.40"", ""Top of page bid (low range)"": ""40.45""}"
digital signage play,en-US,Google Keyword Planner,United States,2026-08-18,Keyword Stats 2026-08-18 at 16_01_51.csv,,95,digital signage player,PF-002;PF-003,100,,REVIEW_RELEVANT,PENDING_REVIEW,,5000,高,99,0%,0%,"{""Avg. monthly searches"": ""5000"", ""Competition"": ""高"", ""Competition (indexed value)"": ""99"", ""Top of page bid (high range)"": ""156.30"", ""Top of page bid (low range)"": ""28.91""}"
digital signage player,en-US,Google Keyword Planner,United States,2026-08-18,Keyword Stats 2026-08-18 at 16_01_51.csv,,5,digital signage player,PF-002;PF-003,100,,REVIEW_RELEVANT,PENDING_REVIEW,,5000,高,99,0%,0%,"{""Avg. monthly searches"": ""5000"", ""Competition"": ""高"", ""Competition (indexed value)"": ""99"", ""Top of page bid (high range)"": ""156.30"", ""Top of page bid (low range)"": ""28.91""}"
menu board,en-US,Google Keyword Planner,United States,2026-08-18,Keyword Stats 2026-08-18 at 16_01_51.csv,,25,digital menu board,PF-002;PF-003,100,,REVIEW_RELEVANT,PENDING_REVIEW,,5000,高,100,0%,0%,"{""Avg. monthly searches"": ""5000"", ""Competition"": ""高"", ""Competition (indexed value)"": ""100"", ""Top of page bid (high range)"": ""68.11"", ""Top of page bid (low range)"": ""5.13""}"
menu digital board,en-US,Google Keyword Planner,United States,2026-08-18,Keyword Stats 2026-08-18 at 16_01_51.csv,,78,digital menu board,PF-002;PF-003,100,,REVIEW_RELEVANT,PENDING_REVIEW,,5000,高,97,0%,0%,"{""Avg. monthly searches"": ""5000"", ""Competition"": ""高"", ""Competition (indexed value)"": ""97"", ""Top of page bid (high range)"": ""118.85"", ""Top of page bid (low range)"": ""23.90""}"
android digital signage,en-US,Google Keyword Planner,United States,2026-08-18,Keyword Stats 2026-08-18 at 16_01_51.csv,,4,android digital signage,PF-001;PF-003,100,,REVIEW_RELEVANT,PENDING_REVIEW,,500,中,64,0%,-90%,"{""Avg. monthly searches"": ""500"", ""Competition"": ""中"", ""Competition (indexed value)"": ""64"", ""Top of page bid (high range)"": ""187.16"", ""Top of page bid (low range)"": ""19.91""}"
digital menu boards price,en-US,Google Keyword Planner,United States,2026-08-18,Keyword Stats 2026-08-18 at 16_01_51.csv,,34,digital menu board,PF-002;PF-003,100,,REVIEW_RELEVANT,PENDING_REVIEW,,500,中,41,0%,-90%,"{""Avg. monthly searches"": ""500"", ""Competition"": ""中"", ""Competition (indexed value)"": ""41"", ""Top of page bid (high range)"": ""63.36"", ""Top of page bid (low range)"": ""18.99""}"
digital signage media player,en-US,Google Keyword Planner,United States,2026-08-18,Keyword Stats 2026-08-18 at 16_01_51.csv,,13,digital signage player,PF-002;PF-003,100,,REVIEW_RELEVANT,PENDING_REVIEW,,500,中,56,0%,0%,"{""Avg. monthly searches"": ""500"", ""Competition"": ""中"", ""Competition (indexed value)"": ""56"", ""Top of page bid (high range)"": ""141.56"", ""Top of page bid (low range)"": ""29.11""}"
